Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Salaries & Benefits,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,175685,185212,197064,204975,240806,265114,291110,296970,311852,323750,308723,313882,308900,285687,273559,257900,287608,310013,330276,264093,262751,272235,296480,308211,265102,270673,259903,308484,313850,326361,393233,175368,183826,197064,200995,235594,260646,290518,296970,311825,321326,308721,309560,297685,283806,273532,250863,287608,308432,330277,264090,262751,272232,296480,308211,270673,270673,259903,308484,313015,326361,393233
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Office Supplies,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,10954,4982,6186,7583,8000,8000,8000,7445,3225,4450,5770,6018,4900,5168,4697,3589,2272,1032,2580,2785,5862,2362,4441,845,9638,2688,3443,2683,4456,564,3927,10954,4982,4318,7583,5430,6194,2932,7445,3217,4449,5770,6018,4830,5168,4697,3444,2272,1032,2580,2782,5862,2362,4441,845,2688,2688,1540,2683,4456,564,3927
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Postage,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,11965,9000,11010,8850,10067,18124,11883,8340,4520,3800,3691,5000,6700,10000,170,1700,1176,1985,268,21,194,35,194,1137,1138,0,555,276,224,4027,16856,11965,8236,11010,8850,10067,18124,11883,6396,4520,3782,3668,4814,6632,10000,170,1676,1176,1676,268,21,194,35,194,1133,0,0,0,276,224,4007,16856
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Travel,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,578,699,2000,1125,1500,1500,1500,1500,1213,1550,1500,1400,1500,1802,517,500,265,289,40,305,325,349,325,265,265,590,530,590,590,758,1051,578,606,819,1125,702,1128,313,0,1213,1349,1484,1333,1494,1802,517,305,265,289,40,305,325,346,325,265,590,590,530,590,590,758,1051
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Telephone,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,2989,4008,4837,4500,5318,6224,6300,7072,4661,5600,7286,5950,5500,5448,4857,4650,6289,4719,3324,3708,5059,5130,6035,7354,495,0,495,0,0,0,0,2989,4008,4837,4349,5318,5852,5533,6165,4661,5552,7286,5822,5337,4723,4857,4616,6289,4616,3324,3708,5059,5130,6035,7354,0,0,495,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Insurance,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,413,86,54,500,500,500,500,500,362,200,226,200,800,218,30,100,22,0,20,0,22,0,50,105,105,0,292,73,105,10,29,413,86,54,0,369,50,21,40,362,16,226,114,795,0,30,0,22,0,20,10,22,0,50,105,0,0,292,63,80,0,29
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Miscellaneous,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,2921,6169,4722,5170,1421,1360,5000,5000,2194,5640,2504,2450,6020,15766,4159,650,2218,0,63,3046,2272,790,4142,427,430,6434,1968,6634,5304,17,1588,2889,6140,2031,5170,1421,558,1048,657,2194,5578,2440,2407,5994,15270,4159,962,3453,0,63,3046,2272,790,4142,427,6434,6434,1598,6559,5103,0,1588
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Equipment ,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,18,1490,1000,3091,1539,5000,5000,10000,0,5010,20297,15100,3280,6760,3157,3500,1176,1553,5885,2431,1894,4569,1210,4101,7674,22577,9264,1762,7823,7065,8075,18,1490,981,0,234,0,0,1212,0,4955,20298,14723,2396,6419,3157,3463,1176,1553,5885,2431,1894,4569,1210,4101,22577,22577,9264,1538,7823,7065,8075
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,System Updates and Programming,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,10796,9902,5807,10180,14655,2516,7117,0,0,0,0,0,0,0,0,4000,3988,5648,6099,19361,23674,13241,33720,1055,22217,11878,15689,29700,27581,32785,29791,10796,9902,4960,10180,14655,222,162,0,0,0,0,0,0,0,0,3634,3988,5648,6099,19361,23674,13241,33720,1055,11878,11878,15689,29700,27581,32775,29791
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,1,County Clerk,County Clerk,Office Machine Rent,http://macoupincountyclerk.com,"The Macoupin Clerk's Office acts as Clerk of the County Board and as Election authority for Macoupin County; the office also handles birth and death records and marriage licenses, and maintains business and notary records in the Public Filings unit; the Tax Services department calculates tax rates and maintains records on delinquent parcels; the Clerk also handles the payroll of the County employees and accounts receivable and payable. The Clerk also serves as the Recorder of Deeds and the office in that role records all documents and records related to land/structure transactions on properties located in Macoupin County.",County Clerk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,1920,1452,1500,2377,1070,19,1325,1325,1325,1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,959,1920,1452,1500,1070,1070,0,1325,1325,1325,1325
